canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence
12,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,12,,,,1,joinDOTA Masters IV,observed_name_only
13nu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,13nu,,,,3,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,observed_name_only
1437,liquipedia_player_infobox.id,1437,https://liquipedia.net/dota2/1437,resolved_with_player_page_and_ids,high,87196890,76561198047462618 (derived),1437,1437 | Rose,Sivatheeban Sivanathapillai,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id
17,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,17,,,,1,joinDOTA Masters IV,observed_name_only
19,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,19,,,,1,joinDOTA Masters IV,observed_name_only
69,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,69,,,,1,joinDOTA Masters IV,observed_name_only
820,liquipedia_player_infobox.id,820,https://liquipedia.net/dota2/820,resolved_with_player_page_and_ids,high,109081055,76561198069346783 (derived),820,820,邹倚天,Zou Yitian,1,The International 2011,player_page_infobox | player_page_account_id
A.Jolie,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,A.Jolie,,,,1,Dota2 Star Championship,observed_name_only
AA,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,AA,,,,1,joinDOTA Masters IV,teamcard_link | observed_name_only
aabBAA,liquipedia_player_infobox.id,AabBAA,https://liquipedia.net/dota2/AabBAA,resolved_with_player_page_and_ids,high,91191651,76561198051457379 (derived),aabBAA,aabBAA | AabBAA,ชานนท์ ชิวปรีชา,Chanon Chiwpreecha,4,The International 2011 | The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,player_page_infobox | player_page_account_id
Akke,liquipedia_player_infobox.id,Akke,https://liquipedia.net/dota2/Akke,resolved_with_player_page_and_ids,high,41288955,76561198001554683 (derived),Akke,Akke | Wilhelm,Joakim Akterhall,,5,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id
Alanter,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Alanter,,,,1,Razer Dota 2 Tournament,observed_name_only
Alex,liquipedia_player_infobox.id,Alex,https://liquipedia.net/dota2/Alex,resolved_with_player_page_and_ids,high,37105332,76561197997371060 (derived),Alex,Alex | Alex-,Alexander Reinhardt,,1,The Defense Season 1,player_page_infobox | player_page_account_id
ALWAYSWANNAFLY,liquipedia_player_infobox.id,ALWAYSWANNAFLY,https://liquipedia.net/dota2/ALWAYSWANNAFLY,resolved_with_player_page_and_ids,high,91064780,76561198051330508 (derived),ALWAYSWANNAFLY,ALWAYSWANNAFLY | AWF,Андрій Бондаренко,Andrii Bondarenko,1,Dota2 Star Championship,player_page_infobox | player_page_account_id
ANdre,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ANdre | Andre,,,,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,observed_name_only
AngeL,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,AngeL,,,,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,observed_name_only
ARS,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ARS,,,,2,Electronic Sports World Cup 2011 | WCG Asian Championship 2011,observed_name_only
Artstyle,liquipedia_player_infobox.id,Artstyle,https://liquipedia.net/dota2/Artstyle,resolved_with_player_page_and_ids,high,176184718,76561198136450446 (derived),Artstyle | ArtStyle,Artstyle | diesel,Іван Антонов,Ivan Antonov,2,The International 2011 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id
ast0n,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ast0n,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only
asuna,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,asuna,,,,1,The Defense Season 1,teamcard_link | observed_name_only
athraxxx,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,athraxxx,,,,1,WCG Asian Championship 2011,observed_name_only
Atze,liquipedia_player_infobox.id,Atze,https://liquipedia.net/dota2/Atze,resolved_with_player_page_and_ids,high,20771881,76561197981037609 (derived),Atze,Atze,Marcel Binz,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id
Away,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,71581150,76561198031846878 (derived),Away,,,,1,JeeDota2 Championship #1,teamcard_account_id
Awoke,liquipedia_player_infobox.id,Awoke,https://liquipedia.net/dota2/Awoke,resolved_with_player_page_and_ids,high,86016761,76561198046282489 (derived),Awoke,Awoke | Qeki | haAaDes,叶靓,Ye Jing,2,The International 2011 | joinDOTA Masters IV,player_page_infobox | player_page_account_id
ayschrenn,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86907802,76561198047173530 (derived),ayschrenn,,,,1,JeeDota2 Championship #1,teamcard_account_id
Azen,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Azen,,,,1,The International 2011,observed_name_only
B,liquipedia_player_infobox.id,B,https://liquipedia.net/dota2/B,resolved_with_player_page_and_ids,high,29904110,76561197990169838 (derived),bLeeK | B,B | bLeeK | chad,Scott Jensen,,3,The Defense Season 1 | JeeDota2 Championship #1 | joinDOTA Masters IV,player_page_infobox | teamcard_account_id | player_page_account_id
BABARR,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BABARR,,,,1,The Defense Season 1,observed_name_only
BABARRR,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BABARRR,,,,1,Electronic Sports World Cup 2011,observed_name_only
BAJA-,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BAJA- | Baja,,,,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,observed_name_only
Balazs,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Balazs,,,,1,Dota2 Star Championship,observed_name_only
Balsam,liquipedia_player_infobox.id,Balsam,https://liquipedia.net/dota2/Balsam,resolved_with_player_page_and_ids,high,32410065,76561197992675793 (derived),Balsam,Balsam,Andreas Løchte,,1,The International 2011,player_page_infobox | player_page_account_id
Banana,liquipedia_player_infobox.id,Banana,https://liquipedia.net/dota2/Banana,resolved_with_player_page_and_ids,high,89217927,76561198049483655 (derived),Banana,Banana,王蛟,Wang Jiao,1,The International 2011,player_page_infobox | player_page_account_id
BeaR,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BeaR,,,,1,Electronic Sports World Cup 2011,observed_name_only
belalking,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,belalking,,,,1,WCG Asian Championship 2011,observed_name_only
Bentzer,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Bentzer | bentzer,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only
